UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
7001,M21860,300.6,310.6,1463,45.5,196,0,0,0,0,0,0
7002,L54181,300.5,310.5,1564,38.2,199,0,0,0,0,0,0
7003,H36416,300.5,310.6,1411,47.2,201,0,0,0,0,0,0
7004,L54183,300.5,310.6,1540,46.7,206,0,0,0,0,0,0
7005,L54184,300.5,310.6,1950,20.3,208,0,0,0,0,0,0
7006,M21865,300.6,310.7,1339,52.9,0,0,0,0,0,0,0
7007,H36420,300.6,310.6,1419,39.6,3,0,0,0,0,0,0
7008,L54187,300.5,310.6,1499,45.2,8,0,0,0,0,0,0
7009,L54188,300.5,310.6,1368,49.6,10,0,0,0,0,0,0
7010,L54189,300.5,310.5,1536,36.2,12,0,0,0,0,0,0
7011,M21870,300.5,310.5,1469,42.9,14,0,0,0,0,0,0
7012,L54191,300.5,310.5,2633,12.2,17,1,0,0,1,0,0
7013,L54192,300.4,310.4,1298,61.4,19,0,0,0,0,0,0
7014,M21873,300.4,310.4,1544,36.3,21,0,0,0,0,0,0
7015,H36428,300.5,310.5,1403,47.7,24,0,0,0,0,0,0
7016,L54195,300.5,310.5,1452,42.9,29,0,0,0,0,0,0
7017,L54196,300.6,310.5,1509,43.1,31,0,0,0,0,0,0
7018,M21877,300.7,310.6,1474,37.0,33,0,0,0,0,0,0
7019,M21878,300.7,310.7,1377,46.7,36,0,0,0,0,0,0
7020,L54199,300.8,310.8,1741,27.1,39,0,0,0,0,0,0
7021,L54200,300.8,310.8,1460,53.8,41,0,0,0,0,0,0
7022,H36435,300.7,310.6,1631,32.6,43,0,0,0,0,0,0
7023,L54202,300.7,310.5,1561,33.2,48,0,0,0,0,0,0
7024,M21883,300.7,310.6,1572,38.5,50,0,0,0,0,0,0
7025,L54204,300.6,310.6,2127,18.7,53,0,0,0,0,0,0
7026,H36439,300.6,310.6,1448,44.7,55,0,0,0,0,0,0
7027,L54206,300.6,310.7,1543,39.6,60,0,0,0,0,0,0
7028,L54207,300.6,310.6,1508,34.8,62,0,0,0,0,0,0
7029,M21888,300.6,310.6,1403,50.4,64,0,0,0,0,0,0
7030,L54209,300.6,310.6,1454,39.7,67,0,0,0,0,0,0
7031,L54210,300.7,310.8,1772,27.3,69,0,0,0,0,0,0
7032,L54211,300.7,310.8,1479,49.1,71,0,0,0,0,0,0
7033,L54212,300.7,310.9,1723,31.0,73,0,0,0,0,0,0
7034,M21893,300.7,310.8,1469,46.4,75,0,0,0,0,0,0
7035,H36448,300.6,310.6,1830,26.2,78,0,0,0,0,0,0
7036,L54215,300.6,310.6,1497,38.2,83,0,0,0,0,0,0
7037,L54216,300.7,310.6,1540,52.7,85,0,0,0,0,0,0
7038,L54217,300.6,310.6,1514,39.5,87,0,0,0,0,0,0
7039,L54218,300.7,310.6,1654,34.2,89,0,0,0,0,0,0
7040,H36453,300.6,310.5,1519,37.0,91,0,0,0,0,0,0
7041,L54220,300.7,310.6,1720,30.3,96,0,0,0,0,0,0
7042,L54221,300.6,310.5,1470,37.7,98,0,0,0,0,0,0
7043,L54222,300.6,310.5,1642,29.9,100,0,0,0,0,0,0
7044,M21903,300.7,310.6,2006,19.1,102,0,0,0,0,0,0
7045,M21904,300.7,310.6,1505,35.6,105,0,0,0,0,0,0
7046,M21905,300.7,310.6,1609,27.6,108,0,0,0,0,0,0
7047,M21906,300.7,310.5,1863,22.2,111,0,0,0,0,0,0
7048,L54227,300.6,310.4,1401,42.6,114,0,0,0,0,0,0
7049,L54228,300.6,310.4,2007,19.8,116,0,0,0,0,0,0
7050,L54229,300.6,310.4,1494,47.3,118,0,0,0,0,0,0
7051,L54230,300.6,310.4,1457,47.7,120,0,0,0,0,0,0
7052,L54231,300.6,310.4,1556,37.7,122,0,0,0,0,0,0
7053,H36466,300.6,310.4,1510,42.8,124,0,0,0,0,0,0
7054,H36467,300.7,310.5,1567,38.7,129,0,0,0,0,0,0
7055,H36468,300.7,310.5,1476,43.1,134,0,0,0,0,0,0
7056,L54235,300.8,310.6,1663,30.6,139,0,0,0,0,0,0
7057,M21916,300.8,310.5,1409,50.6,141,0,0,0,0,0,0
7058,L54237,300.8,310.6,1666,36.2,144,0,0,0,0,0,0
7059,L54238,300.7,310.6,1520,45.9,146,0,0,0,0,0,0
7060,L54239,300.6,310.5,1644,33.8,148,0,0,0,0,0,0
7061,H36474,300.6,310.4,1479,35.6,150,0,0,0,0,0,0
7062,L54241,300.6,310.4,1446,49.7,155,0,0,0,0,0,0
7063,M21922,300.6,310.4,1407,51.1,157,0,0,0,0,0,0
7064,L54243,300.7,310.4,1234,51.7,160,0,0,0,0,0,0
7065,M21924,300.8,310.5,1696,29.7,162,0,0,0,0,0,0
7066,L54245,300.8,310.6,1384,52.9,165,0,0,0,0,0,0
7067,M21926,300.8,310.7,1572,36.2,167,0,0,0,0,0,0
7068,M21927,300.8,310.7,1386,42.1,170,0,0,0,0,0,0
7069,L54248,300.8,310.7,1461,42.8,173,0,0,0,0,0,0
7070,L54249,300.8,310.7,1525,39.4,175,0,0,0,0,0,0
7071,L54250,300.7,310.7,1333,61.0,177,0,0,0,0,0,0
7072,H36485,300.7,310.6,1505,40.6,179,0,0,0,0,0,0
7073,M21932,300.7,310.6,1439,41.7,184,0,0,0,0,0,0
7074,L54253,300.7,310.6,1491,43.2,187,0,0,0,0,0,0
7075,M21934,300.7,310.6,1488,39.2,189,0,0,0,0,0,0
7076,L54255,300.7,310.5,1536,47.4,192,0,0,0,0,0,0
7077,L54256,300.7,310.5,1960,21.0,194,0,0,0,0,0,0
7078,M21937,300.7,310.5,1594,31.0,196,0,0,0,0,0,0
7079,L54258,300.7,310.5,1357,52.6,199,0,0,0,0,0,0
7080,L54259,300.7,310.5,1445,41.1,201,0,0,0,0,0,0
7081,L54260,300.7,310.4,1543,47.3,203,0,0,0,0,0,0
7082,L54261,300.7,310.4,1366,52.6,205,0,0,0,0,0,0
7083,L54262,300.7,310.3,1458,40.0,207,0,0,0,0,0,0
7084,L54263,300.7,310.4,1416,61.8,209,1,0,0,1,1,0
7085,L54264,300.6,310.3,1794,24.4,211,0,0,0,0,0,0
7086,L54265,300.6,310.3,1484,41.0,213,0,0,0,0,0,0
7087,L54266,300.6,310.4,2514,13.4,215,0,0,0,0,0,0
7088,L54267,300.6,310.3,1648,30.5,217,1,1,0,0,0,0
7089,M21948,300.6,310.3,1614,32.7,0,0,0,0,0,0,0
7090,L54269,300.6,310.2,1622,34.1,3,0,0,0,0,0,0
7091,M21950,300.6,310.2,1478,40.1,5,0,0,0,0,0,0
7092,L54271,300.6,310.2,1318,51.0,8,0,0,0,0,0,0
7093,L54272,300.7,310.2,1493,35.9,10,0,0,0,0,0,0
